# HOMER Peaks
# Peak finding parameters:
# tag directory = tagDirs/SRR3401908
#
# total peaks = 62
# peak size = 137
# peaks found using tags on both strands
# minimum distance between peaks = 274
# fragment length = 136
# genome size = 1663013
# Total tags = 15697333.0
# Total tags in peaks = 2464237.0
# Approximate IP efficiency = 15.70%
# tags per bp = 8.629758
# expected tags per peak = 1182.277
# maximum tags considered per bp = 943.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 6.207220e-05
# FDR tag threshold = 1317.0
# number of putative peaks = 1656
#
# input tag directory = tagDirs/SRR3401659
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1563
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 31
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = bin/findPeaks tagDirs/SRR3401908 -i tagDirs/SRR3401659 -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
NC_011334.1-1	NC_011334.1	6004	6140	+	1003050.6	0.972	261403.000000	375956.9	10578.0	35.54	0.00e+00	265.26	0.00e+00	0.08
NC_011333.1-1	NC_011333.1	1586460	1586596	+	54335.3	0.908	85147.000000	20361.7	2176.0	9.36	0.00e+00	63.10	0.00e+00	0.15
NC_011333.1-2	NC_011333.1	1550116	1550252	+	45207.7	0.909	71096.000000	16938.3	1555.0	10.89	0.00e+00	24.72	0.00e+00	0.31
NC_011333.1-3	NC_011333.1	654143	654279	+	35292.6	0.940	55400.000000	13214.0	1338.0	9.88	0.00e+00	49.94	0.00e+00	0.43
NC_011333.1-5	NC_011333.1	1650270	1650406	+	26362.4	0.946	41420.000000	9888.6	1769.0	5.59	0.00e+00	26.42	0.00e+00	0.40
NC_011333.1-7	NC_011333.1	1275183	1275319	+	20595.9	0.864	32503.000000	7729.7	709.0	10.90	0.00e+00	18.43	0.00e+00	0.45
NC_011333.1-8	NC_011333.1	911850	911986	+	19302.0	0.847	30738.000000	7244.4	471.0	15.38	0.00e+00	14.31	0.00e+00	0.45
NC_011333.1-9	NC_011333.1	1192534	1192670	+	18806.4	0.961	30008.000000	7049.0	293.0	24.06	0.00e+00	36.49	0.00e+00	0.52
NC_011333.1-10	NC_011333.1	939241	939377	+	18254.1	0.899	28755.000000	6850.7	811.0	8.45	0.00e+00	20.86	0.00e+00	0.26
NC_011333.1-16	NC_011333.1	46010	46146	+	14141.3	0.958	22253.000000	5292.4	968.0	5.47	0.00e+00	19.13	0.00e+00	0.54
NC_011333.1-15	NC_011333.1	1504183	1504319	+	14110.7	0.749	22372.000000	5290.7	845.0	6.26	0.00e+00	17.18	0.00e+00	0.43
NC_011333.1-20	NC_011333.1	109888	110024	+	12323.7	0.774	19520.000000	4636.5	203.0	22.84	0.00e+00	8.87	0.00e+00	0.46
NC_011333.1-21	NC_011333.1	536867	537003	+	11942.8	0.828	19034.000000	4479.9	697.0	6.43	0.00e+00	21.09	0.00e+00	0.36
NC_011333.1-22	NC_011333.1	954874	955010	+	11882.9	0.931	18900.000000	4450.1	111.0	40.09	0.00e+00	16.76	0.00e+00	0.48
NC_011333.1-24	NC_011333.1	78971	79107	+	11164.3	0.702	17613.000000	4185.3	182.0	23.00	0.00e+00	8.20	0.00e+00	0.40
NC_011333.1-25	NC_011333.1	1144406	1144542	+	10814.6	0.775	17131.000000	4059.0	320.0	12.68	0.00e+00	14.31	0.00e+00	0.46
NC_011333.1-28	NC_011333.1	698989	699125	+	10293.5	0.878	16168.000000	3864.7	62.0	62.33	0.00e+00	13.64	0.00e+00	0.29
NC_011333.1-34	NC_011333.1	779798	779934	+	9419.4	0.902	14822.000000	3529.1	735.0	4.80	0.00e+00	13.57	0.00e+00	0.45
